service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
76351,1,0,1,0,1,0,0,20220214,20220610
76349,1,1,0,1,1,0,0,20220214,20220610
76532,1,0,1,1,0,0,0,20220214,20220525
76530,0,1,0,0,1,0,0,20220215,20220602
76350,1,1,1,1,1,0,0,20220214,20220610
76346,0,0,0,0,0,1,0,20220312,20220611
76348,0,0,1,0,0,0,0,20220216,20220608
76529,0,1,0,0,1,0,0,20220215,20220610
76531,1,0,1,1,0,0,0,20220214,20220610
76347,0,0,0,0,0,0,1,20220313,20220612
76533,0,1,0,0,1,0,0,20220215,20220610
76534,1,1,1,1,1,0,0,20220214,20220602
76535,1,1,1,1,1,0,0,20220221,20220610
76536,0,0,1,0,0,0,0,20220216,20220525
76537,1,1,0,1,1,0,0,20220214,20220610
76538,1,0,0,0,0,0,0,20220228,20220523
76539,1,0,0,0,0,0,0,20220228,20220523
76540,1,1,0,1,1,0,0,20220214,20220527
76541,0,1,0,1,0,0,0,20220215,20220602
76542,0,1,0,1,0,0,0,20220215,20220602
76543,0,0,1,0,1,0,0,20220216,20220603
76544,1,1,0,1,0,0,0,20220214,20220602
76545,0,0,1,0,1,0,0,20220216,20220603
76546,1,0,1,0,1,0,0,20220214,20220610
76547,1,1,1,1,1,0,0,20220214,20220608
76548,0,1,0,1,0,0,0,20220214,20220526
76549,1,1,1,1,1,0,0,20220221,20220610
77208,1,1,1,1,1,0,0,20220214,20220526
72914,1,1,1,1,1,0,0,20220214,20220610
72915,1,0,1,1,0,0,0,20220214,20220525
72916,0,1,0,0,1,0,0,20220215,20220610
76275,1,0,0,1,0,0,0,20220214,20220525
76276,0,1,1,0,1,0,0,20220215,20220610
76277,1,0,0,1,0,0,0,20220214,20220525
76278,1,1,1,1,1,0,0,20220218,20220610
76279,0,0,1,0,1,0,0,20220216,20220603
76280,1,1,0,1,0,0,0,20220214,20220610
76352,1,1,1,1,1,0,0,20220218,20220610
76281,1,1,1,1,1,0,0,20220214,20220609
76353,1,1,1,1,1,0,0,20220214,20220527
76282,1,1,1,1,1,0,0,20220214,20220527
76354,1,1,1,1,1,0,0,20220218,20220610
76283,0,1,1,1,1,0,0,20220217,20220610
76355,0,1,0,0,1,0,0,20220215,20220602
76284,1,1,1,1,1,0,0,20220217,20220304
76356,1,1,1,1,1,0,0,20220214,20220531
76285,0,0,0,0,0,1,0,20220219,20220305
76357,0,0,0,0,0,1,0,20220219,20220611
76286,0,0,0,0,0,0,1,20220220,20220306
76358,1,1,1,1,1,0,0,20220214,20220608
76287,1,1,1,1,1,0,0,20220214,20220602
76359,1,1,1,1,1,0,0,20220214,20220608
76288,0,0,1,0,1,0,0,20220215,20220527
76360,1,1,0,1,0,0,0,20220214,20220602
76289,0,1,0,0,1,0,0,20220215,20220602
76513,1,0,0,0,0,0,0,20220214,20220523
76290,0,0,1,0,1,0,0,20220216,20220603
76652,1,0,0,0,0,0,0,20220214,20220523
76291,1,1,0,1,0,0,0,20220214,20220610
76514,1,1,1,1,1,0,0,20220214,20220608
76292,1,1,1,1,1,0,0,20220214,20220602
76515,1,1,1,1,1,0,0,20220214,20220527
76293,1,1,1,1,0,0,0,20220214,20220519
76516,1,1,1,1,1,0,0,20220221,20220610
76294,0,0,1,0,1,0,0,20220215,20220527
76517,0,0,1,0,0,0,0,20220216,20220518
76295,1,1,1,1,1,0,0,20220214,20220526
76518,1,1,1,1,1,0,0,20220214,20220606
76296,1,1,1,1,1,0,0,20220221,20220610
76519,1,1,1,1,1,0,0,20220221,20220610
76297,0,0,1,0,1,0,0,20220216,20220603
76520,1,1,1,1,1,0,0,20220214,20220606
76298,1,1,0,1,0,0,0,20220214,20220610
76521,1,1,1,1,1,0,0,20220214,20220606
76299,0,1,0,0,1,0,0,20220215,20220526
76522,1,1,1,1,1,0,0,20220214,20220610
76300,1,1,1,1,1,0,0,20220214,20220526
76523,1,1,1,1,1,0,0,20220221,20220610
76301,1,1,1,1,1,0,0,20220214,20220526
76524,0,0,0,0,0,0,1,20220220,20220612
76302,1,1,0,1,1,0,0,20220214,20220609
76525,1,1,1,1,1,0,0,20220214,20220602
76342,0,0,1,0,0,0,0,20220216,20220610
76526,1,1,1,1,1,0,0,20220221,20220610
76343,1,1,0,1,0,0,0,20220214,20220602
76527,0,0,1,0,0,0,0,20220216,20220518
76344,0,0,1,0,1,0,0,20220216,20220610
76528,1,0,1,1,0,0,0,20220214,20220525
76345,1,1,1,1,1,0,0,20220214,20220610
