route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
"Blue Line S","SC","Blue Line S","Santa Teresa - Civic Center","Use the substitute bus bridge in place due to maintenance work",0,"https://www.vta.org/go/routes/blue-line","4cb4e7","000000"
"26","SC","26","West Valley College - Eastridge","",3,"https://www.vta.org/go/routes/26","e4002b","FFFFFF"
"Rapid 568","SC","Rapid 568","Gilroy Transit Center to San Jose Diridon","Rapid buses may depart up to five minutes earlier than the time shown, if traffic allows.",3,"https://www.vta.org/go/routes/rapid-568","e4002b","FFFFFF"
"Rapid 500","SC","Rapid 500","San Jose Diridon Station - Berryessa BART","Rapid buses may depart up to five minutes earlier than the time shown, if traffic allows.",3,"https://www.vta.org/go/routes/rapid-500","e4002b","FFFFFF"
"72","SC","72","Downtown San Jose - Senter & Monterey via McLaughlin","",3,"https://www.vta.org/go/routes/72","e4002b","FFFFFF"
"31","SC","31","Evergreen Valley College - Eastridge","",3,"https://www.vta.org/go/routes/31","29588c","FFFFFF"
"37","SC","37","West Valley College - Capitol Station","",3,"https://www.vta.org/go/routes/37","29588c","FFFFFF"
"39","SC","39","Eastridge - The Villages","",3,"https://www.vta.org/go/routes/39","29588c","FFFFFF"
"57","SC","57","Old Ironsides Station - West Valley College","",3,"https://www.vta.org/go/routes/57","e4002b","FFFFFF"
"55","SC","55","Old Ironsides Station - De Anza College","",3,"https://www.vta.org/go/routes/55","29588c","FFFFFF"
"60","SC","60","Milpitas BART - Winchester Station via SJC Airport","",3,"https://www.vta.org/go/routes/60","e4002b","FFFFFF"
"66","SC","66","North Milpitas - Kaiser San Jose","",3,"https://www.vta.org/go/routes/66","e4002b","FFFFFF"
"68","SC","68","San Jose Diridon Station - Gilroy Transit Center","",3,"https://www.vta.org/go/routes/68","e4002b","FFFFFF"
"School 287","SC","School 287","Live Oak High School - Monterey & San Martin","",3,"https://www.vta.org/go/routes/287","29588c","FFFFFF"
"Orange Line","SC","Orange Line","Mountain View - Alum Rock","",0,"https://www.vta.org/go/routes/orange-line","ff8300","000000"
"Blue/Green Bus Bridge","SC","Blue/Green Bus Bridge","Civic Center - Gish Bus Bridge","Substitute bus bridge in place due to maintenance work",3,"https://www.vta.org/alerts","29588c","FFFFFF"
"83","SC","83","Almaden & McKean - Ohlone-Chynoweth Station","",3,"https://www.vta.org/go/routes/83","29588c","FFFFFF"
"School 288","SC","School 288","Gunn High School - Middlefield & Colorado via Charleston","",3,"https://www.vta.org/go/routes/288","29588c","FFFFFF"
"Blue Line N","SC","Blue Line N","Gish - Baypointe","Use the substitute bus bridge in place due to maintenance work",0,"https://www.vta.org/go/routes/blue-line","4cb4e7","000000"
"Green Line S","SC","Green Line S","Winchester - Civic Center","Use the substitute bus bridge in place due to maintenance work",0,"https://www.vta.org/go/routes/green-line","73c92d","000000"
"27","SC","27","Winchester Station - Kaiser San Jose via Downtown Los Gatos","",3,"https://www.vta.org/go/routes/27","29588c","FFFFFF"
"Rapid 522","SC","Rapid 522","Palo Alto Transit Center - Eastridge","Rapid buses may depart up to five minutes earlier than the time shown, if traffic allows.",3,"https://www.vta.org/go/routes/rapid-522","e4002b","FFFFFF"
"School 288M","SC","School 288M","Gunn High School - Middlefield & Colorado via Waverley","",3,"https://www.vta.org/go/routes/288M","29588c","FFFFFF"
"School 256","SC","School 256","Willow Glen High School - Keyes & First","",3,"https://www.vta.org/go/routes/256","29588c","FFFFFF"
"73","SC","73","Downtown San Jose - Senter & Monterey via Senter","",3,"https://www.vta.org/go/routes/73","e4002b","FFFFFF"
"School 270","SC","School 270","Independence High School - Landess & Park Victoria","",3,"https://www.vta.org/go/routes/270","29588c","FFFFFF"
