stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_desc,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
"65522","65522",10th & Alexander,37.001222,-121.562964,,"Westbound","","0","","","1",""
"60236","60236",10th & Alexander,37.000817,-121.563526,,"Eastbound","","0","","","1",""
"63350","63350",10th & Church,36.999673,-121.56765,,"Eastbound","","0","","","1",""
"63349","63349",10th & Hanna,36.998924,-121.5702,,"Eastbound","","0","","","1",""
"63477","63477",10th & Hanna,36.999097,-121.570233,,"Westbound","","0","","","1",""
"64216","64216",10th & Hedding,37.357441,-121.893624,,"Southbound","","0","","","1",""
"65973","65973",10th & Julian,37.345154,-121.884489,,"Southbound","","0","","","0",""
"63803","63803",10th & Martha,37.326973,-121.870912,,"Southbound","","0","","","1",""
"63476","63476",10th & Monterey,37.000291,-121.566142,,"Westbound","","0","","","1",""
"63801","63801",10th & San Salvador,37.334285,-121.876362,,"Southbound","","0","","","1",""
"65970","65970",10th & Santa Clara,37.340972,-121.88137,,"Southbound","","0","","","0",""
"64995","64995",10th & Taylor,37.353304,-121.890562,,"Southbound","","0","","","0",""
"65974","65974",11th & Julian,37.345831,-121.883313,,"Northbound","","0","","","0",""
"63796","63796",11th & Keyes,37.325163,-121.867947,,"Northbound","","0","","","1",""
"63798","63798",11th & Margaret,37.330543,-121.87196,,"Northbound","","0","","","1",""
"63797","63797",11th & Martha,37.327437,-121.869638,,"Northbound","","0","","","1",""
"63734","63734",11th & San Antonio,37.338145,-121.877629,,"Northbound","","0","","","1",""
"65892","65892",11th & Taylor,37.354434,-121.889687,,"Northbound","","0","","","0",""
"63206","63206",1st & Alma,37.316843,-121.874156,,"Northbound","","0","","","1",""
"62589","62589",1st at Alviso Park,37.424278,-121.968958,,"Northbound","","0","","","2",""
"60611","60611",1st & Bassett,37.341582,-121.894487,,"Northbound","","0","","","1",""
"65953","65953",1st & Brokaw,37.372696,-121.918093,,"Southbound","","0","","","0",""
"64485","64485",1st & C Street,37.417768,-122.026916,,"Eastbound","","0","","","1",""
"63273","63273",1st & Floyd,37.31723,-121.874961,,"Southbound","","0","","","1",""
"65717","65717",1st & Gish,37.361517,-121.909687,,"","","0","","","0",""
"63271","63271",1st & Goodyear,37.320175,-121.877894,,"Southbound","","0","","","1",""
"62590","62590",1st & Grand,37.425097,-121.972051,,"Westbound","","0","","","1",""
"65050","65050",1st & Headquarters,37.415348,-121.954031,,"Northbound","","0","","","1",""
"62586","62586",1st & Holger,37.416798,-121.956395,,"Northbound","","0","","","2",""
