route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_short_name,bikes_allowed,wheelchair_accessible
Blue Line S,76284,3178431,BAYPOINTE,0,9240,105109,,0,0
Blue Line S,76285,3178109,BAYPOINTE,0,9240,105109,,0,0
Blue Line S,76284,3178432,BAYPOINTE,0,9242,105109,,0,0
Blue Line S,76286,3178761,BAYPOINTE,0,9241,105109,,0,0
Blue Line S,76284,3178433,BAYPOINTE,0,9241,105109,,0,0
Blue Line S,76285,3178110,BAYPOINTE,0,9241,105109,,0,0
Blue Line S,76284,3178434,BAYPOINTE,0,9243,105109,,0,0
Blue Line S,76285,3178111,BAYPOINTE,0,9243,105109,,0,0
Blue Line S,76284,3178435,BAYPOINTE,0,9240,105109,,0,0
Blue Line S,76286,3178762,BAYPOINTE,0,9243,105109,,0,0
Blue Line S,76284,3178436,BAYPOINTE,0,9242,105109,,0,0
Blue Line S,76285,3178112,BAYPOINTE,0,9245,105109,,0,0
Blue Line S,76286,3178763,BAYPOINTE,0,9245,105109,,0,0
Blue Line S,76284,3178437,BAYPOINTE,0,9244,105109,,0,0
Blue Line S,76286,3178764,BAYPOINTE,0,9240,105109,,0,0
Blue Line S,76285,3178113,BAYPOINTE,0,9240,105109,,0,0
Blue Line S,76284,3178438,BAYPOINTE,0,9247,105109,,0,0
Blue Line S,76284,3178439,BAYPOINTE,0,9243,105109,,0,0
Blue Line S,76285,3178114,BAYPOINTE,0,9242,105109,,0,0
Blue Line S,76286,3178765,BAYPOINTE,0,9242,105109,,0,0
Blue Line S,76284,3178440,BAYPOINTE,0,9246,105109,,0,0
Blue Line S,76285,3178115,BAYPOINTE,0,9244,105109,,0,0
Blue Line S,76286,3178766,BAYPOINTE,0,9244,105109,,0,0
Blue Line S,76284,3178441,BAYPOINTE,0,9248,105109,,0,0
Blue Line S,76284,3178442,BAYPOINTE,0,9241,105109,,0,0
Blue Line S,76285,3178116,BAYPOINTE,0,9246,105109,,0,0
Blue Line S,76286,3178767,BAYPOINTE,0,9246,105109,,0,0
