service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
JAN16-D01CAR-3_Sunday-95,0,0,0,0,0,0,1,20160131,20160619
JAN16-D01CAR-1_Weekday-95,1,1,1,1,1,0,0,20160201,20160624
JAN16-D01CAR-1_Weekday-95-1111100,1,1,1,1,1,0,0,20160201,20160624
JAN16-D01CAR-2_Saturday-95,0,0,0,0,0,1,0,20160206,20160625
JAN16-D02CAR-3_Sunday-99,0,0,0,0,0,0,1,20160131,20160619
JAN16-D02CAR-1_Weekday-99,1,1,1,1,1,0,0,20160201,20160624
JAN16-D02CAR-1_Weekday-99-1111100,1,1,1,1,1,0,0,20160201,20160624
JAN16-D02CAR-2_Saturday-99,0,0,0,0,0,1,0,20160206,20160625
JAN16-D03CAR-3_Sunday-99,0,0,0,0,0,0,1,20160131,20160619
JAN16-D03CAR-1_Weekday-99,1,1,1,1,1,0,0,20160201,20160624
JAN16-D03CAR-1_Weekday-99-0100000,0,1,0,0,0,0,0,20160201,20160624
JAN16-D03CAR-1_Weekday-99-1011100,1,0,1,1,1,0,0,20160201,20160624
JAN16-D03CAR-1_Weekday-99-1111100,1,1,1,1,1,0,0,20160201,20160624
JAN16-D03CAR-2_Saturday-99,0,0,0,0,0,1,0,20160206,20160625
JAN16-D05CAR-3_Sunday-99,0,0,0,0,0,0,1,20160131,20160619
JAN16-D05CAR-1_Weekday-99,1,1,1,1,1,0,0,20160201,20160624
JAN16-D05CAR-1_Weekday-99-1111100,1,1,1,1,1,0,0,20160201,20160624
JAN16-D05CAR-2_Saturday-99,0,0,0,0,0,1,0,20160206,20160625
JAN16-D07CAR-3_Sunday-99,0,0,0,0,0,0,1,20160131,20160619
JAN16-D07CAR-1_Weekday-95,1,1,1,1,1,0,0,20160201,20160624
JAN16-D07CAR-1_Weekday-95-0101000,0,1,0,1,0,0,0,20160201,20160624
JAN16-D07CAR-1_Weekday-95-1010100,1,0,1,0,1,0,0,20160201,20160624
JAN16-D07CAR-1_Weekday-95-1111100,1,1,1,1,1,0,0,20160201,20160624
JAN16-D07CAR-2_Saturday-99,0,0,0,0,0,1,0,20160206,20160625
JAN16-D08CAR-3_Sunday-99,0,0,0,0,0,0,1,20160131,20160619
JAN16-D08CAR-1_Weekday-99,1,1,1,1,1,0,0,20160201,20160624
JAN16-D08CAR-1_Weekday-99-1111100,1,1,1,1,1,0,0,20160201,20160624
JAN16-D08CAR-1_Weekday-99-1011100,1,0,1,1,1,0,0,20160201,20160624
JAN16-D08CAR-1_Weekday-99-0100000,0,1,0,0,0,0,0,20160201,20160624
JAN16-D08CAR-1_Weekday-99-0000100,0,0,0,0,1,0,0,20160201,20160624
JAN16-D08CAR-1_Weekday-99-1111000,1,1,1,1,0,0,0,20160201,20160624
JAN16-D08CAR-2_Saturday-99,0,0,0,0,0,1,0,20160206,20160625
JAN16-D09CAR-3_Sunday-99-0000001,0,0,0,0,0,0,1,20160131,20160619
JAN16-D09CAR-3_Sunday-99,0,0,0,0,0,0,1,20160131,20160619
JAN16-D09CAR-1_Weekday-96,1,1,1,1,1,0,0,20160201,20160624
JAN16-D09CAR-1_Weekday-96-0111100,0,1,1,1,1,0,0,20160201,20160624
JAN16-D09CAR-1_Weekday-96-1000000,1,0,0,0,0,0,0,20160201,20160624
JAN16-D09CAR-1_Weekday-96-1111100,1,1,1,1,1,0,0,20160201,20160624
JAN16-D09CAR-1_Weekday-96-0000100,0,0,0,0,1,0,0,20160201,20160624
JAN16-D09CAR-2_Saturday-99,0,0,0,0,0,1,0,20160206,20160625
JAN16-D09CAR-2_Saturday-99-0000010,0,0,0,0,0,1,0,20160206,20160625
JAN16-D10CAR-3_Sunday-95,0,0,0,0,0,0,1,20160131,20160619
JAN16-D10CAR-3_Sunday-95-0000001,0,0,0,0,0,0,1,20160131,20160619
JAN16-D10CAR-1_Weekday-95,1,1,1,1,1,0,0,20160201,20160624
JAN16-D10CAR-1_Weekday-95-1111000,1,1,1,1,0,0,0,20160201,20160624
JAN16-D10CAR-1_Weekday-95-0000100,0,0,0,0,1,0,0,20160201,20160624
JAN16-D10CAR-1_Weekday-95-1111100,1,1,1,1,1,0,0,20160201,20160624
JAN16-D10CAR-2_Saturday-95,0,0,0,0,0,1,0,20160206,20160625
JAN16-D10CAR-2_Saturday-95-0000010,0,0,0,0,0,1,0,20160206,20160625
