service_id,date,exception_type
JAN16-D01CAR-3_Sunday-95,20160530,1
JAN16-D01CAR-1_Weekday-95,20160530,2
JAN16-D01CAR-1_Weekday-95-1111100,20160530,2
JAN16-D02CAR-3_Sunday-99,20160530,1
JAN16-D02CAR-1_Weekday-99,20160530,2
JAN16-D02CAR-1_Weekday-99-1111100,20160530,2
JAN16-D03CAR-3_Sunday-99,20160530,1
JAN16-D03CAR-1_Weekday-99,20160530,2
JAN16-D03CAR-1_Weekday-99-0100000,20160530,2
JAN16-D03CAR-1_Weekday-99-1011100,20160530,2
JAN16-D03CAR-1_Weekday-99-1111100,20160530,2
JAN16-D05CAR-3_Sunday-99,20160530,1
JAN16-D05CAR-1_Weekday-99,20160530,2
JAN16-D05CAR-1_Weekday-99-1111100,20160530,2
JAN16-D07CAR-3_Sunday-99,20160530,1
JAN16-D07CAR-1_Weekday-95,20160530,2
JAN16-D07CAR-1_Weekday-95-0101000,20160530,2
JAN16-D07CAR-1_Weekday-95-1010100,20160530,2
JAN16-D07CAR-1_Weekday-95-1111100,20160530,2
JAN16-D08CAR-3_Sunday-99,20160530,1
JAN16-D08CAR-1_Weekday-99,20160530,2
JAN16-D08CAR-1_Weekday-99-1111100,20160530,2
JAN16-D08CAR-1_Weekday-99-1011100,20160530,2
JAN16-D08CAR-1_Weekday-99-0100000,20160530,2
JAN16-D08CAR-1_Weekday-99-0000100,20160530,2
JAN16-D08CAR-1_Weekday-99-1111000,20160530,2
JAN16-D09CAR-3_Sunday-99,20160530,1
JAN16-D09CAR-1_Weekday-96,20160530,2
JAN16-D09CAR-1_Weekday-96-0111100,20160530,2
JAN16-D09CAR-1_Weekday-96-1000000,20160530,2
JAN16-D09CAR-1_Weekday-96-1111100,20160530,2
JAN16-D09CAR-1_Weekday-96-0000100,20160530,2
JAN16-D10CAR-3_Sunday-95,20160530,1
JAN16-D10CAR-3_Sunday-95-0000001,20160530,1
JAN16-D10CAR-1_Weekday-95,20160530,2
JAN16-D10CAR-1_Weekday-95-1111000,20160530,2
JAN16-D10CAR-1_Weekday-95-0000100,20160530,2
JAN16-D10CAR-1_Weekday-95-1111100,20160530,2
JAN16-D13CAR-1_Weekday-95,20160530,2
JAN16-D13CAR-1_Weekday-95-1111100,20160530,2
JAN16-D15CAR-3_Sunday-95,20160530,1
JAN16-D15CAR-1_Weekday-95,20160530,2
JAN16-D15CAR-1_Weekday-95-1111100,20160530,2
JAN16-D15CAR-1_Weekday-95-0100000,20160530,2
JAN16-D15CAR-1_Weekday-95-1011100,20160530,2
JAN16-D18CAR-3_Sunday-99,20160530,1
JAN16-D18CAR-1_Weekday-96,20160530,2
JAN16-D18CAR-1_Weekday-96-1111100,20160530,2
JAN16-D95-3_Sunday-99,20160530,1
JAN16-D95-1_Weekday-99,20160530,2
JAN16-D98-1_Weekday-70,20160530,2
JAN16-D98-3_Sunday-70,20160530,1
JAN16-D98-3_Sunday-99,20160530,1
JAN16-D98-1_Weekday-99,20160530,2
RDEC15-801-1_Weekday-99,20160212,2
RDEC15-801-1_Weekday-98,20160208,2
RDEC15-801-1_Weekday-98,20160209,2
RDEC15-801-1_Weekday-98,20160210,2
RDEC15-801-1_Weekday-98,20160211,2
RJUN16-801-3_Sunday-00,20160530,1
RJUN16-801-1_Weekday-01,20160219,2
RJUN16-801-1_Weekday-01,20160226,2
RJUN16-801-1_Weekday-01,20160304,2
RJUN16-801-1_Weekday-01,20160311,2
RJUN16-801-1_Weekday-01,20160318,2
RJUN16-801-1_Weekday-01,20160325,2
RJUN16-801-1_Weekday-01,20160401,2
RJUN16-801-1_Weekday-01,20160408,2
RJUN16-801-1_Weekday-01,20160415,2
RJUN16-801-1_Weekday-01,20160422,2
RJUN16-801-1_Weekday-01,20160429,2
RJUN16-801-1_Weekday-01,20160506,2
RJUN16-801-1_Weekday-01,20160513,2
RJUN16-801-1_Weekday-01,20160520,2
RJUN16-801-1_Weekday-01,20160527,2
RJUN16-801-1_Weekday-01,20160530,2
RJUN16-801-1_Weekday-01,20160603,2
RJUN16-801-1_Weekday-01,20160610,2
RJUN16-801-1_Weekday-01,20160617,2
RJUN16-801-1_Weekday-00,20160222,2
RJUN16-801-1_Weekday-00,20160223,2
RJUN16-801-1_Weekday-00,20160224,2
RJUN16-801-1_Weekday-00,20160225,2
RJUN16-801-1_Weekday-00,20160229,2
RJUN16-801-1_Weekday-00,20160301,2
RJUN16-801-1_Weekday-00,20160302,2
RJUN16-801-1_Weekday-00,20160303,2
RJUN16-801-1_Weekday-00,20160307,2
RJUN16-801-1_Weekday-00,20160308,2
RJUN16-801-1_Weekday-00,20160309,2
RJUN16-801-1_Weekday-00,20160310,2
RJUN16-801-1_Weekday-00,20160314,2
RJUN16-801-1_Weekday-00,20160315,2
RJUN16-801-1_Weekday-00,20160316,2
RJUN16-801-1_Weekday-00,20160317,2
RJUN16-801-1_Weekday-00,20160321,2
RJUN16-801-1_Weekday-00,20160322,2
RJUN16-801-1_Weekday-00,20160323,2
RJUN16-801-1_Weekday-00,20160324,2
RJUN16-801-1_Weekday-00,20160328,2
RJUN16-801-1_Weekday-00,20160329,2
RJUN16-801-1_Weekday-00,20160330,2
RJUN16-801-1_Weekday-00,20160331,2
RJUN16-801-1_Weekday-00,20160404,2
RJUN16-801-1_Weekday-00,20160405,2
RJUN16-801-1_Weekday-00,20160406,2
RJUN16-801-1_Weekday-00,20160407,2
RJUN16-801-1_Weekday-00,20160411,2
RJUN16-801-1_Weekday-00,20160412,2
RJUN16-801-1_Weekday-00,20160413,2
RJUN16-801-1_Weekday-00,20160414,2
RJUN16-801-1_Weekday-00,20160418,2
RJUN16-801-1_Weekday-00,20160419,2
RJUN16-801-1_Weekday-00,20160420,2
RJUN16-801-1_Weekday-00,20160421,2
RJUN16-801-1_Weekday-00,20160425,2
RJUN16-801-1_Weekday-00,20160426,2
RJUN16-801-1_Weekday-00,20160427,2
RJUN16-801-1_Weekday-00,20160428,2
RJUN16-801-1_Weekday-00,20160502,2
RJUN16-801-1_Weekday-00,20160503,2
RJUN16-801-1_Weekday-00,20160504,2
RJUN16-801-1_Weekday-00,20160505,2
RJUN16-801-1_Weekday-00,20160509,2
RJUN16-801-1_Weekday-00,20160510,2
