route_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color,route_url
2-13094,2/302,Metro Local Line,,3,,,
4-13094,4,Metro Local Line,,3,,,
10-13094,10/48,Metro Local Line,,3,,,
14-13094,14/37,Metro Local Line,,3,,,
16-13094,16/316,Metro Local Line,,3,,,
18-13094,18,Metro Local Line,,3,,,
20-13094,20,Metro Local Line,,3,,,
28-13094,28,Metro Local Line,,3,,,
30-13094,30/330,Metro Local Line,,3,,,
33-13094,33,Metro Local Line,,3,,,
35-13094,35/38,Metro Local Line,,3,,,
40-13094,40,Metro Local Line,,3,,,
45-13094,45,Metro Local Line,,3,,,
51-13094,51/52/352,Metro Local Line,,3,,,
53-13094,53,Metro Local Line,,3,,,
55-13094,55/355,Metro Local Line,,3,,,
60-13094,60,Metro Local Line,,3,,,
62-13094,62,Metro Local Line,,3,,,
66-13094,66,Metro Local Line,,3,,,
68-13094,68,Metro Local Line,,3,,,
70-13094,70,Metro Local Line,,3,,,
71-13094,71,Metro Local Line,,3,,,
76-13094,76,Metro Local Line,,3,,,
78-13094,78/79/378,Metro Local Line,,3,,,
81-13094,81,Metro Local Line,,3,,,
83-13094,83,Metro Local Line,,3,,,
90-13094,90/91,Metro Local Line,,3,,,
92-13094,92,Metro Local Line,,3,,,
94-13094,94,Metro Local Line,,3,,,
96-13094,96,Metro Local Line,,3,,,
102-13094,102,Metro Local Line,,3,,,
105-13094,105,Metro Local Line,,3,,,
108-13094,108/358,Metro Local Line,,3,,,
110-13094,110,Metro Local Line,,3,,,
111-13094,111/311,Metro Local Line,,3,,,
115-13094,115,Metro Local Line,,3,,,
117-13094,117,Metro Local Line,,3,,,
120-13094,120,Metro Local Line,,3,,,
125-13094,125,Metro Local Line,,3,,,
126-13094,126,Metro Local Line,,3,,,
127-13094,127,Metro Local Line,,3,,,
128-13094,128,Metro Local Line,,3,,,
130-13094,130,Metro Local Line,,3,,,
150-13094,150/240,Metro Local Line,,3,,,
152-13094,152/353,Metro Local Line,,3,,,
154-13094,154,Metro Local Line,,3,,,
155-13094,155,Metro Local Line,,3,,,
156-13094,156,Metro Local Line,,3,,,
158-13094,158,Metro Local Line,,3,,,
161-13094,161,Metro Local Line,,3,,,
163-13094,163/162,Metro Local Line,,3,,,
164-13094,164,Metro Local Line,,3,,,
165-13094,165,Metro Local Line,,3,,,
166-13094,166/364,Metro Local Line,,3,,,
167-13094,167,Metro Local Line,,3,,,
169-13094,169,Metro Local Line,,3,,,
175-13094,175,Metro Local Line,,3,,,
176-13094,176,Metro Local Line,,3,,,
177-13094,177,Metro Local Line,,3,,,
180-13094,180/181,Metro Local Line,,3,,,
183-13094,183,Metro Local Line,,3,,,
190-13094,190/194,Metro Local Line,,3,,,
200-13094,200,Metro Local Line,,3,,,
201-13094,201,Metro Local Line,,3,,,
202-13094,202,Metro Local Line,,3,,,
204-13094,204,Metro Local Line,,3,,,
205-13094,205,Metro Local Line,,3,,,
206-13094,206,Metro Local Line,,3,,,
207-13094,207,Metro Local Line,,3,,,
209-13094,209,Metro Local Line,,3,,,
210-13094,210,Metro Local Line,,3,,,
211-13094,211/215,Metro Local Line,,3,,,
212-13094,212/312,Metro Local Line,,3,,,
217-13094,217,Metro Local Line,,3,,,
218-13094,218,Metro Local Line,,3,,,
220-13094,220,Metro Local Line,,3,,,
222-13094,222,Metro Local Line,,3,,,
224-13094,224,Metro Local Line,,3,,,
230-13094,230,Metro Local Line,,3,,,
232-13094,232,Metro Local Line,,3,,,
233-13094,233,Metro Local Line,,3,,,
234-13094,234,Metro Local Line,,3,,,
236-13094,236/237,Metro Local Line,,3,,,
239-13094,239,Metro Local Line,,3,,,
243-13094,243/242,Metro Local Line,,3,,,
245-13094,245/244,Metro Local Line,,3,,,
246-13094,246,Metro Local Line,,3,,,
251-13094,251,Metro Local Line,,3,,,
252-13094,252,Metro Local Line,,3,,,
254-13094,254,Metro Local Line,,3,,,
256-13094,256,Metro Local Line,,3,,,
258-13094,258,Metro Local Line,,3,,,
260-13094,260,Metro Local Line,,3,,,
265-13094,265,Metro Local Line,,3,,,
266-13094,266,Metro Local Line,,3,,,
267-13094,267/264,Metro Local Line,,3,,,
268-13094,268,Metro Local Line,,3,,,
270-13094,270,Metro Local Line,,3,,,
292-13094,292,Metro Local Line,,3,,,
344-13094,344,Metro Limited Line,,3,,,
442-13094,442,Metro Express Line,,3,,,
460-13094,460,Metro Express Line,,3,,,
485-13094,485,Metro Express Line,,3,,,
487-13094,487/489,Metro Express Line,,3,,,
501-13094,501,Metro Express Line,,3,,,
534-13094,534,Metro Express Line,,3,,,
550-13094,550,Metro Express Line,,3,,,
577-13094,577,Metro Express Line,,3,,,
603-13094,603,Metro Local Line,,3,,,
605-13094,605,Metro Local Line,,3,,,
607-13094,607,Metro Local Line,,3,,,
611-13094,611,Metro Local Line,,3,,,
612-13094,612,Metro Local Line,,3,,,
620-13094,620,Metro Local Line,,3,,,
625-13094,625,Metro Local Line,,3,,,
665-13094,665,Metro Local Line,,3,,,
685-13094,685,Metro Local Line,,3,,,
687-13094,687/686,Metro Local Line,,3,,,
704-13094,704,Metro Rapid Line,,3,000000,FFFFFF,
705-13094,705,Metro Rapid Line,,3,000000,FFFFFF,
710-13094,710,Metro Rapid Line,,3,000000,FFFFFF,
720-13094,720,Metro Rapid Line,,3,000000,FFFFFF,
728-13094,728,Metro Rapid Line,,3,000000,FFFFFF,
733-13094,733,Metro Rapid Line,,3,000000,FFFFFF,
734-13094,734,Metro Rapid Line,,3,000000,FFFFFF,
740-13094,740,Metro Rapid Line,,3,000000,FFFFFF,
744-13094,744,Metro Rapid Line,,3,000000,FFFFFF,
745-13094,745,Metro Rapid Line,,3,000000,FFFFFF,
750-13094,750,Metro Rapid Line,,3,000000,FFFFFF,
751-13094,751,Metro Rapid Line,,3,000000,FFFFFF,
754-13094,754,Metro Rapid Line,,3,000000,FFFFFF,
757-13094,757,Metro Rapid Line,,3,000000,FFFFFF,
760-13094,760,Metro Rapid Line,,3,000000,FFFFFF,
762-13094,762,Metro Rapid Line,,3,000000,FFFFFF,
770-13094,770,Metro Rapid Line,,3,000000,FFFFFF,
780-13094,780,Metro Rapid Line,,3,000000,FFFFFF,
788-13094,788,Metro Rapid Line,,3,000000,FFFFFF,
794-13094,794,Metro Rapid Line,,3,000000,FFFFFF,
854-13094,,Metro Gold Line Bus Bridge (854),,3,DA7C20,FFFFFF,
901-13094,901,Metro Orange Line  (901),,3,FF5A00,FFFFFF,http://www.metro.net/around/rail/orange-line/
910-13094,910/950,Metro Silver Line  (910/950),,3,656D74,FFFFFF,http://www.metro.net/around/rail/silver-line/
801,,Metro Blue Line  (801),,0,004DAC,FFFFFF,http://www.metro.net/around/rail/blue-line/
