route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
18-13094,JAN16-D01CAR-1_Weekday-95,39944857,,0,180400,180187_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944858,,0,180500,180187_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944859,,0,180600,180187_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944860,,1,180200,180194_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944861,,0,180900,180187_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944862,,0,182001,180179_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944863,,0,182101,180187_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944864,,0,180700,180187_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944865,,0,181300,180187_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944866,,0,182201,180179_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944867,,0,181901,180187_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944868,,0,182301,180179_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944869,,0,182401,180179_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944870,,0,182001,180179_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944871,,0,180100,180187_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944872,,0,181400,180187_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944873,,0,181100,180187_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944874,,0,182401,180179_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944875,,0,182001,180179_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944876,,0,180800,180187_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944877,,0,180300,180187_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944878,,0,180900,180187_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944879,,0,180700,180187_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944880,,0,181100,180187_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944881,,0,181200,180187_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944882,,0,181502,180188_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944883,,0,180100,180188_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944884,,0,181400,180187_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944885,,0,180800,180188_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944886,,0,180200,180188_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944887,,0,181502,180187_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944888,,0,181802,180188_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944889,,0,181801,180179_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944890,,0,180200,180187_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944891,,0,180800,180188_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944892,,0,180200,180188_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944893,,0,180300,180187_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944894,,0,181000,180187_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944895,,0,182402,180188_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944896,,0,181200,180188_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944897,,0,181100,180187_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944898,,0,181300,180188_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944899,,0,181902,180187_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944900,,0,182102,180188_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944901,,0,181702,180187_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944902,,0,182202,180187_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944903,,0,182602,180188_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944904,,0,181000,180188_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944905,,0,182702,180188_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944906,,0,180200,180188_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944907,,0,180700,180187_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944908,,0,182402,180187_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944909,,0,181300,180187_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944910,,1,182002,180194_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944911,,1,181300,180198_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944912,,1,182702,180198_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944913,,1,180500,180194_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944914,,1,181300,180194_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944915,,1,182302,180194_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944916,,1,182702,180194_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944917,,0,181902,180187_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944918,,0,180100,180187_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944919,,0,180500,180187_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944920,,0,182702,180187_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944921,,0,182002,180187_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944922,,0,189111,180190_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944923,,0,180100,180190_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944924,,0,182702,180190_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944925,,0,181300,180191_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944926,,1,180500,180194_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944927,,1,180200,180194_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944928,,1,181200,180194_JAN16
18-13094,JAN16-D01CAR-1_Weekday-95,39944929,,1,180400,180196_JAN16
